Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period
ETHUSDT,Long,"1,840.534 USDT",738.711,"1,359,622.44 USDT","17,374 USDT",1.28 %,05/01/2023 19:18 UTC,05/03/2023 04:55 UTC,,,2023-05-01 19:18:00,2023-05-03 04:55:00,2023-05-02 04:18:00,2023-05-03 13:55:00,2023-05-02 04:18 KST,2023-05-03 13:55 KST,17374.0,1,17374.0,1359622.44,1359622.44,17374.0,1
BTCUSDT,Long,"28,657.21 USDT",103.75,"2,973,185.55 USDT","35,945 USDT",1.21 %,05/01/2023 19:18 UTC,05/06/2023 14:06 UTC,,,2023-05-01 19:18:00,2023-05-06 14:06:00,2023-05-02 04:18:00,2023-05-06 23:06:00,2023-05-02 04:18 KST,2023-05-06 23:06 KST,35945.0,1,35945.0,2973185.55,2973185.55,53319.0,1
EDUUSDT,Long,1.305 USDT,"8,000","10,440.00 USDT",-366.96 USDT,-3.51 %,05/02/2023 08:27 UTC,05/02/2023 10:20 UTC,,,2023-05-02 08:27:00,2023-05-02 10:20:00,2023-05-02 17:27:00,2023-05-02 19:20:00,2023-05-02 17:27 KST,2023-05-02 19:20 KST,366.96,-1,-366.96,10440.0,10440.0,52952.04,1
MATICUSDT,Short,0.981 USDT,"73,762","-72,386.42 USDT",-482.36 USDT,-0.67 %,05/03/2023 12:02 UTC,05/03/2023 16:59 UTC,,,2023-05-03 12:02:00,2023-05-03 16:59:00,2023-05-03 21:02:00,2023-05-04 01:59:00,2023-05-03 21:02 KST,2023-05-04 01:59 KST,482.36,-1,-482.36,-72386.42,72386.42,52469.68,1
ETHUSDT,Long,"1,864.164 USDT",340,"633,815.90 USDT","2,905 USDT",0.46 %,05/03/2023 17:03 UTC,05/03/2023 19:13 UTC,,,2023-05-03 17:03:00,2023-05-03 19:13:00,2023-05-04 02:03:00,2023-05-04 04:13:00,2023-05-04 02:03 KST,2023-05-04 04:13 KST,2905.0,1,2905.0,633815.9,633815.9,55374.68,1
ETHUSDT,Long,"1,898.594 USDT",530,"1,006,254.59 USDT","8,694 USDT",0.86 %,05/04/2023 06:00 UTC,05/05/2023 12:10 UTC,,,2023-05-04 06:00:00,2023-05-05 12:10:00,2023-05-04 15:00:00,2023-05-05 21:10:00,2023-05-04 15:00 KST,2023-05-05 21:10 KST,8694.0,1,8694.0,1006254.59,1006254.59,64068.68,1
1000PEPEUSDT,Short,0.003 USDT,"6,000,000","-18,970.05 USDT",-496.35 USDT,-2.62 %,05/05/2023 18:09 UTC,05/05/2023 20:15 UTC,,,2023-05-05 18:09:00,2023-05-05 20:15:00,2023-05-06 03:09:00,2023-05-06 05:15:00,2023-05-06 03:09 KST,2023-05-06 05:15 KST,496.35,-1,-496.35,-18970.05,18970.05,63572.33,1
1000PEPEUSDT,Long,0.003 USDT,"3,000,000","10,265.00 USDT","-2,068.99 USDT",-20.16 %,05/05/2023 20:17 UTC,05/06/2023 14:06 UTC,,,2023-05-05 20:17:00,2023-05-06 14:06:00,2023-05-06 05:17:00,2023-05-06 23:06:00,2023-05-06 05:17 KST,2023-05-06 23:06 KST,2068.99,-1,-2068.99,10265.0,10265.0,61503.340000000004,1
ETHUSDT,Long,"1,962.958 USDT",170,"333,702.80 USDT","-3,629.39 USDT",-1.09 %,05/06/2023 06:24 UTC,05/06/2023 08:01 UTC,,,2023-05-06 06:24:00,2023-05-06 08:01:00,2023-05-06 15:24:00,2023-05-06 17:01:00,2023-05-06 15:24 KST,2023-05-06 17:01 KST,3629.39,-1,-3629.39,333702.8,333702.8,57873.950000000004,1
ETHUSDT,Long,"1,940.66 USDT",270,"523,978.09 USDT","-13,435.04 USDT",-2.56 %,05/06/2023 08:43 UTC,05/06/2023 14:06 UTC,,,2023-05-06 08:43:00,2023-05-06 14:06:00,2023-05-06 17:43:00,2023-05-06 23:06:00,2023-05-06 17:43 KST,2023-05-06 23:06 KST,13435.04,-1,-13435.04,523978.09,523978.09,44438.91,1
BTCUSDT,Long,"28,813.369 USDT",27,"777,960.95 USDT","2,074 USDT",0.27 %,05/06/2023 17:28 UTC,05/07/2023 12:17 UTC,,,2023-05-06 17:28:00,2023-05-07 12:17:00,2023-05-07 02:28:00,2023-05-07 21:17:00,2023-05-07 02:28 KST,2023-05-07 21:17 KST,2074.0,1,2074.0,777960.95,777960.95,46512.91,1
ETHUSDT,Long,"1,896.915 USDT",500,"948,457.65 USDT","3,229 USDT",0.34 %,05/06/2023 18:39 UTC,05/07/2023 12:13 UTC,,,2023-05-06 18:39:00,2023-05-07 12:13:00,2023-05-07 03:39:00,2023-05-07 21:13:00,2023-05-07 03:39 KST,2023-05-07 21:13 KST,3229.0,1,3229.0,948457.65,948457.65,49741.91,1
1000PEPEUSDT,Short,0.003 USDT,"1,000,000","-2,555.40 USDT",-196.19 USDT,-7.68 %,05/06/2023 19:42 UTC,05/07/2023 10:46 UTC,,,2023-05-06 19:42:00,2023-05-07 10:46:00,2023-05-07 04:42:00,2023-05-07 19:46:00,2023-05-07 04:42 KST,2023-05-07 19:46 KST,196.19,-1,-196.19,-2555.4,2555.4,49545.72,1
BTCUSDT,Long,"27,864.155 USDT",107,"2,981,464.57 USDT","24,990 USDT",0.84 %,05/08/2023 07:41 UTC,05/10/2023 13:16 UTC,,,2023-05-08 07:41:00,2023-05-10 13:16:00,2023-05-08 16:41:00,2023-05-10 22:16:00,2023-05-08 16:41 KST,2023-05-10 22:16 KST,24990.0,1,24990.0,2981464.57,2981464.57,74535.72,1
ETHUSDT,Long,"1,813 USDT",570,"1,033,410.00 USDT","7,254 USDT",0.70 %,05/08/2023 18:03 UTC,05/08/2023 18:16 UTC,,,2023-05-08 18:03:00,2023-05-08 18:16:00,2023-05-09 03:03:00,2023-05-09 03:16:00,2023-05-09 03:03 KST,2023-05-09 03:16 KST,7254.0,1,7254.0,1033410.0,1033410.0,81789.72,1
ETHUSDT,Long,"1,828.898 USDT",570,"1,042,471.60 USDT","4,538 USDT",0.44 %,05/08/2023 18:56 UTC,05/08/2023 20:17 UTC,,,2023-05-08 18:56:00,2023-05-08 20:17:00,2023-05-09 03:56:00,2023-05-09 05:17:00,2023-05-09 03:56 KST,2023-05-09 05:17 KST,4538.0,1,4538.0,1042471.6,1042471.6,86327.72,1
ETHUSDT,Long,"1,839 USDT",570,"1,048,230.00 USDT","18,232 USDT",1.74 %,05/08/2023 21:56 UTC,05/10/2023 13:19 UTC,,,2023-05-08 21:56:00,2023-05-10 13:19:00,2023-05-09 06:56:00,2023-05-10 22:19:00,2023-05-09 06:56 KST,2023-05-10 22:19 KST,18232.0,1,18232.0,1048230.0,1048230.0,104559.72,1
ETHUSDT,Long,"1,829.854 USDT",970,"1,805,783.51 USDT","-53,949.58 USDT",-2.99 %,05/10/2023 13:39 UTC,05/11/2023 17:24 UTC,,,2023-05-10 13:39:00,2023-05-11 17:24:00,2023-05-10 22:39:00,2023-05-12 02:24:00,2023-05-10 22:39 KST,2023-05-12 02:24 KST,53949.58,-1,-53949.58,1805783.51,1805783.51,50610.14,1
BTCUSDT,Long,"28,179.949 USDT",17,"479,059.14 USDT","-2,983.66 USDT",-0.62 %,05/10/2023 14:01 UTC,05/10/2023 17:12 UTC,,,2023-05-10 14:01:00,2023-05-10 17:12:00,2023-05-10 23:01:00,2023-05-11 02:12:00,2023-05-10 23:01 KST,2023-05-11 02:12 KST,2983.66,-1,-2983.66,479059.14,479059.14,47626.479999999996,1
BTCUSDT,Long,"27,264.272 USDT",77,"2,093,644.17 USDT","-6,466.14 USDT",-0.31 %,05/10/2023 17:18 UTC,05/11/2023 17:46 UTC,,,2023-05-10 17:18:00,2023-05-11 17:46:00,2023-05-11 02:18:00,2023-05-12 02:46:00,2023-05-11 02:18 KST,2023-05-12 02:46 KST,6466.14,-1,-6466.14,2093644.17,2093644.17,41160.34,1
BTCUSDT,Short,"26,333.286 USDT",27,"-710,998.71 USDT","-3,608.54 USDT",-0.51 %,05/12/2023 09:26 UTC,05/12/2023 13:57 UTC,,,2023-05-12 09:26:00,2023-05-12 13:57:00,2023-05-12 18:26:00,2023-05-12 22:57:00,2023-05-12 18:26 KST,2023-05-12 22:57 KST,3608.54,-1,-3608.54,-710998.71,710998.71,37551.799999999996,1
ETHUSDT,Short,"1,767 USDT",270,"-477,090.00 USDT","-2,195.73 USDT",-0.46 %,05/12/2023 12:29 UTC,05/12/2023 13:56 UTC,,,2023-05-12 12:29:00,2023-05-12 13:56:00,2023-05-12 21:29:00,2023-05-12 22:56:00,2023-05-12 21:29 KST,2023-05-12 22:56 KST,2195.73,-1,-2195.73,-477090.0,477090.0,35356.06999999999,1
